Provisioning : Storage Systems : V400_A92 : Virtual Volumes - Virtual Volumes

Name,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
AIXSASP1_DTVG_20,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_21,Normal,200 000 GiB,194 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_22,Normal,200 000 GiB,201 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_23,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_24,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_25,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_26,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_27,Normal,240 000 GiB,241 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_28,Normal,250 000 GiB,251 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_29,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_30,Normal,156 000 GiB,157 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_31,Normal,156 000 GiB,157 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_32,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_33,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_34,Normal,200 000 GiB,201 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_35,Normal,200 000 GiB,201 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_36,Normal,156 000 GiB,157 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_37,Normal,156 000 GiB,157 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_38,Normal,250 000 GiB,231 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_39,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_40,Normal,250 000 GiB,229 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_41,Normal,165 000 GiB,165 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_42,Normal,200 000 GiB,197 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_43,Normal,165 000 GiB,165 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_44,Normal,165 000 GiB,165 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_45,Normal,200 000 GiB,201 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_46,Normal,250 000 GiB,251 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_65,Normal,220 000 GiB,221 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_66,Normal,250 000 GiB,251 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_67,Normal,250 000 GiB,251 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_OCCVG_49,Normal,350 000 GiB,272 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_QUATREMVG_51,Normal,100 000 GiB,16 500 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_ROOTVG_47,Normal,50 000 GiB,33 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_SNAPVG_52,Normal,510 000 GiB,511 125 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_VISIOSTEVG_48,Normal,970 000 GiB,971 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_VISIOSTEVG_64,Normal,990 000 GiB,642 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP2_11,Normal,1 500 000 GiB,1 462 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_12,Normal,540 000 GiB,541 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_0,Normal,500 000 GiB,315 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_1,Normal,540 000 GiB,521 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_2,Normal,540 000 GiB,353 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_3,Normal,500 000 GiB,402 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_4,Normal,500 000 GiB,412 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_5,Normal,800 000 GiB,801 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_6,Normal,800 000 GiB,801 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_9,Normal,540 000 GiB,467 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_13,Normal,500 000 GiB,338 125 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_14,Normal,700 000 GiB,151 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_DATAVG_15,Normal,500 000 GiB,34 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_OSCARVG_8,Normal,140 000 GiB,89 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_ROOTVG_7,Normal,50 000 GiB,42 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_ROOTVG_MIG,Normal,50 000 GiB,16 000 GiB,AIX_SAS_P2,AIXSASP2
AIXSASP2_SNAPVG_10,Normal,512 000 GiB,513 000 GiB,AIX_SAS_P2,AIXSASP2
AIXTSMC_ACTLOGTSMCVG_3,Normal,35 000 GiB,35 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_ARCLFOTSMCVG_5,Normal,17 000 GiB,18 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_ARCLOGTSMCVG_4,Normal,35 000 GiB,36 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_DBTSMCVG_1,Normal,71 000 GiB,72 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_DBTSMCVG_2,Normal,71 000 GiB,72 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_DBTSMCVG_3,Normal,71 000 GiB,65 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_DBTSMCVG_4,Normal,71 000 GiB,60 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_ROOTVG_0,Normal,50 000 GiB,23 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_STG-DISK-TSMC_6,Normal,124 000 GiB,120 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_STG-DISK-TSMC_7,Normal,124 000 GiB,119 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_STG-DISK-TSMC_8,Normal,124 000 GiB,119 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_STG-DISK-TSMC_9,Normal,124 000 GiB,115 500 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_STG-DISK-TSMC_10,Normal,124 000 GiB,117 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_STG-DISK-TSMC_11,Normal,124 000 GiB,105 750 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_STG-DISK-TSMC_12,Normal,124 000 GiB,99 750 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_STG-DISK-TSMC_13,Normal,124 000 GiB,37 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_UPGRADE_17,Normal,500 000 GiB,369 000 GiB,AIX_TSMC,AIXTSMC
AIXTSMC_VAX,Normal,200 000 GiB,77 000 GiB,AIX_TSMC,AIXTSMC
AIXWEBP_APPLIVG_0,Normal,200 000 GiB,191 000 GiB,AIX_WEB_P,AIXWEBP
AIXWEBP_APPLIVG_1,Normal,100 000 GiB,93 000 GiB,AIX_WEB_P,AIXWEBP
AIXWEBP_APPLIVG_2,Normal,200 000 GiB,183 000 GiB,AIX_WEB_P,AIXWEBP
AIXWEBP_APPLIVG_3,Normal,300 000 GiB,240 000 GiB,AIX_WEB_P,AIXWEBP
AIXWEBP_ROOTVG_3,Normal,50 000 GiB,24 000 GiB,AIX_WEB_P,AIXWEBP
AIXWEBW_APPLIVG_1,Normal,30 000 GiB,24 000 GiB,AIX_WEB_W,AIXWEBW
AIXWEBW_APPLIVG_2,Normal,30 000 GiB,17 000 GiB,AIX_WEB_W,AIXWEBW
AIXWEBW_APPLIVG_3,Normal,30 000 GiB,5 000 GiB,AIX_WEB_W,AIXWEBW
AIXWEBW_A0PPVG_0,Normal,180 000 GiB,169 000 GiB,AIX_WEB_W,AIXWEBW
AIXWEBW_NOSECUREVG_4,Normal,120 000 GiB,101 375 GiB,AIX_WEB_W,AIXWEBW
AIXWEBW_NOSECUREVG_5,Normal,100 000 GiB,91 250 GiB,AIX_WEB_W,AIXWEBW
AIXWEBW_NOSECUREVG_6,Normal,100 000 GiB,90 500 GiB,AIX_WEB_W,AIXWEBW
AIXWEBW_ROOTVG_7,Normal,30 000 GiB,17 000 GiB,AIX_WEB_W,AIXWEBW
AIXZEPHIR_BDD_repli,Normal,750 000 GiB,259 000 GiB,--,AIXZEPHYR.r39318
AIXZEPHIR_INS_repli,Normal,2 000 GiB,3 000 GiB,--,AIXZEPHYR.r39318
AIXZEPHIR_ROOTVG_repli,Normal,30 000 GiB,22 000 GiB,--,AIXZEPHYR.r39318
AIXZEPHIR_STG_repli,Normal,2 500 000 GiB,1 792 500 GiB,--,AIXZEPHYR.r39318
ESX09_01B_repli,Normal,750 000 GiB,104 125 GiB,--,ESX09.r39318
ESX09_01C_repli,Normal,5 000 GiB,4 000 GiB,--,ESX09.r39318
ESX25_01A,Normal,750 000 GiB,415 500 GiB,ESX_25_T,--
ESX25_01B,Normal,1 500 GiB,2 000 GiB,ESX_25_T,--
ESX25_017_T,Normal,750 000 GiB,204 875 GiB,ESX_25_T,ESX25
ESX_1AA_P,Normal,2 000 000 GiB,1 150 875 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN1_P
ESX_1AC_P_RET,Normal,1 500 000 GiB,1 104 250 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN3_P_RET
ESX_1B2_P_MIX,Normal,2 000 000 GiB,1 466 375 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN6_P_MIX
ESX_1BD_P_MIX_repli,Normal,1 500 000 GiB,1 064 125 GiB,--,ESX_LUN12_P_MIX.r39318
ESX_1BE_P_MIX_repli,Normal,1 600 000 GiB,703 500 GiB,--,ESX_LUN13_P_MIX.r39318
ESX_1D4_P_ASS,Normal,1 500 000 GiB,713 000 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN7_P_ASS
ESX_1E5_P_MIX,Normal,2 100 000 GiB,1 495 750 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN8_P_MIX
ESX_1E5_P_QUATREM_repli,Normal,1 500 000 GiB,887 875 GiB,--,ESX_LUN16_P_QUATREM.r39318
ESX_1E6_P_QUATREM_repli,Normal,1 500 000 GiB,1 188 625 GiB,--,ESX_LUN17_P_QUATREM.r39318
ESX_1EA_P_ASS_repli,Normal,2 000 000 GiB,1 221 875 GiB,--,ESX_LUN21_P_ASS.r39318
ESX_1EB_P_MIX_repli,Normal,2 050 000 GiB,1 089 500 GiB,--,ESX_LUN22_P_MIX.r39318
ESX_1EC_P_MIX_repli,Normal,2 000 000 GiB,996 250 GiB,--,ESX_LUN23_P_MIX.r39318
ESX_1ED_P_MIX_repli,Normal,2 050 000 GiB,805 875 GiB,--,ESX_LUN24_P_MIX.r39318
ESX_1F1_P_MIX_repli,Normal,2 100 000 GiB,1 479 750 GiB,--,ESX_LUN28_P_MIX.r39318
ESX_1F2_P_MIX_repli,Normal,2 000 000 GiB,909 500 GiB,--,ESX_LUN29_P_MIX.r39318
ESX_1F3_P_MIX_repli,Normal,2 500 000 GiB,1 320 500 GiB,--,ESX_LUN30_P_MIX.r39318
ESX_1F5C_P_MIX_repli,Normal,2 000 000 GiB,446 000 GiB,--,ESX_1F5C_P.r39318
ESX_2A2_P_QUATREM,Normal,1 500 000 GiB,631 750 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN14_P_QUATREM
ESX_2A3_P_MAF,Normal,1 600 000 GiB,664 000 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN15_P_MAF
ESX_2AF6_P_MIX_repli,Normal,2 000 000 GiB,1 375 125 GiB,--,ESX_2AF6_P_MIX.r39318
ESX_2AF7_PP_MIX_repli,Normal,2 100 000 GiB,1 025 000 GiB,--,ESX_2AF7_PP_MIX.r39318
ESX_2B6_P_MIX,Normal,2 000 000 GiB,1 184 500 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN18_P_MIX
ESX_2B7_P_MIX,Normal,2 000 000 GiB,1 478 125 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN19_P_MIX
ESX_2B8_P_MIX,Normal,2 000 000 GiB,1 383 875 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN20_P_MIX
ESX_2BD_P_MIX,Normal,2 000 000 GiB,1 285 000 GiB,ESX_128_P  ESX_126_P  ESX_100_P  ESX_146_P  ESX_124_P  ESX_102_P  ESX_144_P  ESX_122_P  ESX_142_P  ESX_61_P  ESX_82_P  ESX_120_P  ESX_140_P  ESX_118_P  ESX_80_P  ESX_138_P  ESX_114_P  ESX_136_P  ESX_134_P  ESX_54_P  ESX_55_P  ESX_132_P  ESX_78_P  ESX_56_P  ESX_112_P  ESX_130_P  <html><i>set:</i>ESX_P_A92</html>,ESX_LUN25_P_MIX
